time;air_temperature
2025-02-27 00:00:00+00:00;3.3000000000000003
2025-02-27 01:00:00+00:00;3.1
2025-02-27 02:00:00+00:00;2.9166666666666665
2025-02-27 03:00:00+00:00;2.5166666666666666
2025-02-27 04:00:00+00:00;3.0833333333333335
2025-02-27 05:00:00+00:00;4.033333333333333
2025-02-27 06:00:00+00:00;4.283333333333333
2025-02-27 07:00:00+00:00;3.85
2025-02-27 08:00:00+00:00;3.1
2025-02-27 09:00:00+00:00;3.233333333333333
2025-02-27 10:00:00+00:00;3.1166666666666667
2025-02-27 11:00:00+00:00;3.5
2025-02-27 12:00:00+00:00;3.6999999999999997
2025-02-27 13:00:00+00:00;4.2
2025-02-27 14:00:00+00:00;4.533333333333333
2025-02-27 15:00:00+00:00;3.733333333333333
2025-02-27 16:00:00+00:00;3.5500000000000003
2025-02-27 17:00:00+00:00;2.25
2025-02-27 18:00:00+00:00;1.3666666666666665
2025-02-27 19:00:00+00:00;0.6599999999999999
2025-02-27 20:00:00+00:00;0.11666666666666665
2025-02-27 21:00:00+00:00;-0.5166666666666667
2025-02-27 22:00:00+00:00;-0.7333333333333334
2025-02-27 23:00:00+00:00;-1.1400000000000001
2025-02-28 00:00:00+00:00;-1.1833333333333333
2025-02-28 01:00:00+00:00;-1.1166666666666667
2025-02-28 02:00:00+00:00;-1.1166666666666667
2025-02-28 03:00:00+00:00;-1.1666666666666667
2025-02-28 04:00:00+00:00;-0.9500000000000001
2025-02-28 05:00:00+00:00;0.1166666666666667
2025-02-28 06:00:00+00:00;-0.2833333333333333
2025-02-28 07:00:00+00:00;0.11666666666666665
2025-02-28 08:00:00+00:00;-0.9666666666666668
2025-02-28 09:00:00+00:00;-0.09999999999999999
2025-02-28 10:00:00+00:00;1.6833333333333333
2025-02-28 11:00:00+00:00;2.966666666666667
2025-02-28 12:00:00+00:00;4.033333333333333
2025-02-28 13:00:00+00:00;4.666666666666667
2025-02-28 14:00:00+00:00;4.383333333333334
2025-02-28 15:00:00+00:00;4.066666666666667
2025-02-28 16:00:00+00:00;2.1
2025-02-28 17:00:00+00:00;0.6166666666666667
2025-02-28 18:00:00+00:00;-0.25
2025-02-28 19:00:00+00:00;-0.85
2025-02-28 20:00:00+00:00;-1.55
2025-02-28 21:00:00+00:00;-1.5
2025-02-28 22:00:00+00:00;-2.0500000000000003
2025-02-28 23:00:00+00:00;-2.3333333333333335
2025-03-01 00:00:00+00:00;-2.6
2025-03-01 01:00:00+00:00;-2.6999999999999997
2025-03-01 02:00:00+00:00;-2.2666666666666666
2025-03-01 03:00:00+00:00;-2.0833333333333335
2025-03-01 04:00:00+00:00;-1.9833333333333334
2025-03-01 05:00:00+00:00;-2.02
2025-03-01 06:00:00+00:00;-2.25
2025-03-01 07:00:00+00:00;-1.6166666666666665
2025-03-01 08:00:00+00:00;-0.6666666666666666
2025-03-01 09:00:00+00:00;-0.11666666666666665
2025-03-01 10:00:00+00:00;0.9833333333333334
2025-03-01 11:00:00+00:00;2.1333333333333333
2025-03-01 12:00:00+00:00;2.98
2025-03-01 13:00:00+00:00;3.1833333333333336
2025-03-01 14:00:00+00:00;3.466666666666667
2025-03-01 15:00:00+00:00;3.4
2025-03-01 16:00:00+00:00;2.88
2025-03-01 17:00:00+00:00;1.5
2025-03-01 18:00:00+00:00;0.6333333333333333
2025-03-01 19:00:00+00:00;-0.3666666666666667
2025-03-01 20:00:00+00:00;-0.6166666666666666
2025-03-01 21:00:00+00:00;-0.5333333333333333
2025-03-01 22:00:00+00:00;-0.9500000000000001
2025-03-01 23:00:00+00:00;-1.4833333333333334
2025-03-02 00:00:00+00:00;-1.3666666666666665
2025-03-02 01:00:00+00:00;-1.3666666666666665
2025-03-02 02:00:00+00:00;-1.1500000000000001
2025-03-02 03:00:00+00:00;-0.7166666666666667
2025-03-02 04:00:00+00:00;-0.6
2025-03-02 05:00:00+00:00;-0.3666666666666667
2025-03-02 06:00:00+00:00;0.48333333333333334
2025-03-02 07:00:00+00:00;2.62
2025-03-02 08:00:00+00:00;4.7
